MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,JINDALPOLY,JINDAL POLY FILMS LIMITED,       889.70,       899.85,       905.00,       890.25,       896.60,                 16396483.25,18292,N, ,2620,      1449.00,       863.30
N,EQ,JINDALSAW,JINDAL SAW LIMITED,        81.45,        82.45,        83.00,        82.05,        82.35,                 21689329.00,262964,N, ,2013,       128.00,        75.05
N,EQ,JINDALSTEL,JINDAL STEEL & POWER LTD,       419.60,       433.00,       440.55,       427.10,       439.50,               1518660094.85,3494559,N, ,34409,       577.80,       304.20
N,EQ,JINDRILL,JINDAL DRILLING IND. LTD,       254.40,       263.90,       265.00,       256.50,       259.65,                  7527199.05,28967,N, ,1498,       283.70,       120.10
N,EQ,JINDWORLD,JINDAL WORLDWIDE LTD,       258.85,       267.30,       267.30,       253.55,       257.50,                  2928198.45,11320,N, ,448,       387.65,        90.45
N,EQ,JISLDVREQS,JAIN DVR EQUITY SHARES,        19.70,        20.00,        20.40,        19.30,        19.55,                   866159.60,44011,N, ,216,        30.45,        17.00
N,EQ,JISLJALEQS,JAIN IRRIGATION SYSTEMS,        36.95,        37.65,        38.20,        36.95,        37.25,                 59541321.25,1590930,N, ,2779,        53.50,        30.30
N,EQ,JKCEMENT,JK CEMENT LIMITED,      2548.95,      2555.00,      2630.00,      2555.00,      2589.00,                182098583.60,70399,N, ,6162,      3838.00,      2003.70
N,EQ,JKIL,JKUMAR INFR.LTD.,       289.90,       291.80,       295.60,       290.00,       290.15,                 20613700.40,70712,N, ,2044,       351.90,       148.90
N,EQ,JKLAKSHMI,JK LAKSHMI CEMENT LTD,       568.15,       580.00,       584.35,       569.65,       572.80,                114840748.10,200152,N, ,6076,       684.50,       366.25
N,EQ,JKPAPER,JK PAPER LIMITED,       373.15,       378.90,       381.80,       367.20,       371.60,                301822423.15,805578,N, ,20999,       449.95,       192.00
